,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,24,CK,1554409800,74,-21.21,-159.78,78.8,4.7
1,Fortuna,90,ES,1554411803,67,38.18,-1.13,59.0,2.24
2,Anadyr,0,RU,1554411767,85,64.73,177.51,14.0,4.47
3,Inuvik,75,CA,1554410820,65,68.36,-133.71,10.4,5.82
4,Djibo,88,BF,1554412098,50,14.1,-1.63,92.93,3.85
5,Say,0,NE,1554408000,11,13.1,2.36,102.2,3.36
6,Labuhan,68,ID,1554412098,96,-2.54,115.51,72.32,2.28
7,San Patricio,92,PY,1554412099,95,-26.98,-56.83,75.29,7.65
8,Busselton,0,AU,1554411909,59,-33.64,115.35,46.99,12.46
9,Ushuaia,75,AR,1554408000,80,-54.81,-68.31,41.0,20.8
10,Yulara,0,AU,1554408000,36,-25.24,130.99,60.8,5.82
11,Arraial do Cabo,20,BR,1554408000,78,-22.97,-42.02,82.4,14.99
12,Udachnyy,88,RU,1554412099,80,66.42,112.4,18.5,3.4
13,Sarangani,32,PH,1554412100,100,5.4,125.46,81.05,9.1
14,Humberto de Campos,92,BR,1554412100,100,-2.6,-43.46,76.55,8.43
15,Lavrentiya,0,RU,1554412100,90,65.58,-170.99,19.22,22.3
16,Hilo,20,US,1554411982,57,19.71,-155.08,78.8,6.93
17,Mahebourg,20,MU,1554411842,88,-20.41,57.7,77.0,3.36
18,Merrill,90,US,1554412025,57,42.03,-121.6,52.0,19.46
19,Talnakh,68,RU,1554412101,85,69.49,88.39,17.87,3.62
20,Punta Arenas,40,CL,1554411767,61,-53.16,-70.91,50.0,25.28
21,Carnarvon,56,ZA,1554412101,53,-30.97,22.13,58.46,14.7
22,Rikitea,48,PF,1554412043,100,-23.12,-134.97,76.1,17.83
23,Atuona,80,PF,1554412028,100,-9.8,-139.03,82.31,17.16
24,Cam Ranh,20,VN,1554409800,78,11.92,109.15,77.0,4.7
25,Lagoa,40,PT,1554412028,58,37.14,-8.45,57.2,14.99
26,Provideniya,0,RU,1554409800,68,64.42,-173.23,26.6,13.42
27,Kiunga,44,PG,1554412102,93,-6.12,141.3,74.3,2.17
28,Taksimo,76,RU,1554412102,65,56.36,114.84,17.33,2.51
29,Campbeltown,92,GB,1554411608,70,55.43,-5.61,44.6,29.97
30,Berdigestyakh,36,RU,1554412103,77,62.1,126.7,18.5,2.51
31,Kapaa,40,US,1554411813,57,22.08,-159.32,78.8,12.75
32,Mar del Plata,0,AR,1554412103,40,-46.43,-67.52,66.47,20.4
33,Tura,0,IN,1554412103,80,25.52,90.21,67.73,9.66
34,Ulladulla,75,AU,1554411628,100,-35.36,150.48,59.0,6.93
35,San Cristobal,75,EC,1554411752,59,-0.39,-78.55,62.6,12.75
36,Barrow,0,AR,1554411775,78,-38.31,-60.23,61.34,18.72
37,Mongo,0,CF,1554412104,49,4.83,22.92,81.59,4.63
38,Ancud,75,CL,1554408000,71,-41.87,-73.83,53.6,6.93
39,Albany,40,US,1554411856,17,42.65,-73.75,48.0,20.8
40,Mataura,88,NZ,1554411608,93,-46.19,168.86,45.0,4.07
41,Saskylakh,48,RU,1554411856,82,71.97,114.09,14.63,8.66
42,Dikson,68,RU,1554412104,100,73.51,80.55,18.77,8.55
43,Leningradskiy,20,RU,1554412105,98,69.38,178.42,5.99,9.22
44,Thompson,90,CA,1554408000,79,55.74,-97.86,19.4,3.36
45,Makakilo City,1,US,1554412025,54,21.35,-158.09,80.6,9.17
46,Fairbanks,1,US,1554411948,29,64.84,-147.72,30.0,14.99
47,Lebu,75,ET,1554408000,72,8.96,38.73,59.0,6.93
48,San Andres,32,PH,1554411879,100,13.32,122.68,78.44,6.64
49,Ballyshannon,20,IE,1554412024,81,54.5,-8.19,42.8,8.05
50,Omsukchan,0,RU,1554412116,94,62.53,155.8,17.33,2.62
51,Nouadhibou,20,MR,1554408000,68,20.93,-17.03,68.0,18.34
52,Chuy,68,UY,1554411910,94,-33.69,-53.46,73.49,9.22
53,Yellowknife,20,CA,1554411842,50,62.45,-114.38,8.01,8.05
54,Igrim,8,RU,1554412116,82,63.19,64.42,26.96,6.31
55,San Quintin,32,PH,1554412116,81,17.54,120.52,71.6,3.4
56,Bedele,0,ET,1554412117,94,8.46,36.35,55.22,2.62
57,Mangalore,20,IN,1554409800,78,12.87,74.84,82.4,2.73
58,Tecoanapa,5,MX,1554407040,70,16.99,-99.26,86.0,11.41
59,Katherine,24,AU,1554409800,83,-14.47,132.26,78.8,5.82
60,Hirado,92,JP,1554411766,66,33.32,129.49,55.0,18.95
61,Jamestown,0,AU,1554412118,60,-33.21,138.6,61.97,10.67
62,Worthington,90,US,1554411837,100,43.62,-95.6,43.0,12.75
63,Butaritari,88,KI,1554412118,100,3.07,172.79,77.63,2.62
64,Ponta do Sol,36,BR,1554412119,89,-20.63,-46.0,72.23,1.83
65,Vaini,48,IN,1554412119,78,15.34,74.49,69.53,1.72
66,Xuddur,8,SO,1554412119,47,4.12,43.89,78.17,8.99
67,Longyearbyen,90,NO,1554409200,85,78.22,15.63,24.8,32.21
68,Mount Isa,0,AU,1554409800,60,-20.73,139.49,73.4,4.7
69,Beringovskiy,76,RU,1554412120,94,63.05,179.32,22.37,11.79
70,Hithadhoo,88,MV,1554412120,100,-0.6,73.08,83.75,2.06
71,Tuatapere,92,NZ,1554411608,93,-46.13,167.69,45.0,8.77
72,Hobart,20,AU,1554411915,75,-42.88,147.33,48.99,10.29
73,Okhotsk,88,RU,1554412120,80,59.36,143.24,30.92,6.2
74,Ribeira Grande,40,PT,1554408000,66,38.52,-28.7,55.4,10.29
75,Springfield,90,US,1554412101,93,37.22,-93.29,60.01,3.36
76,Flinders,75,AU,1554412027,100,-34.58,150.85,68.0,6.93
77,Qaanaaq,56,GL,1554412122,91,77.48,-69.36,6.8,5.75
78,Tuktoyaktuk,20,CA,1554408000,77,69.44,-133.03,-0.41,5.82
79,Lompoc,75,US,1554412119,67,34.64,-120.46,61.0,13.87
80,Codrington,75,AU,1554412103,93,-28.95,153.24,60.8,3.96
81,Pokhara,44,NP,1554411876,76,28.21,83.99,48.2,1.95
82,Yar-Sale,88,RU,1554412122,93,66.83,70.83,31.19,16.6
83,Kaitangata,100,NZ,1554412114,74,-46.28,169.85,48.99,4.0
84,Chimoio,20,MZ,1554408000,88,-19.11,33.48,68.0,6.93
85,Bluff,0,AU,1554412123,77,-23.58,149.07,65.39,10.67
86,Nioro,32,GM,1554411854,34,13.79,-15.05,85.46,9.89
87,Hermanus,24,ZA,1554411676,76,-34.42,19.24,60.01,1.01
88,Rio de Janeiro,20,BR,1554411325,74,-22.91,-43.21,91.4,10.29
